avg_rating,comment_avg_rating
9.0,9.36
9.0,9.74
9.0,9.58
10.0,9.74
9.0,9.4
9.0,8.84
9.0,9.06
9.0,8.74
10.0,9.873684210526315
9.0,9.108108108108109
9.0,9.9
10.0,9.9
9.0,8.64
9.0,8.72
9.0,9.63888888888889
9.0,9.42
8.0,8.78
9.0,9.448275862068966
8.0,9.2
9.0,8.92
