Hotels,score,polarity_score
1,9,9.36
2,9,9.74
3,9,9.58
4,10,9.74
5,9,9.4
6,9,8.84
7,9,9.06
8,9,8.74
9,10,9.873684211
10,9,9.108108108
11,9,9.9
12,10,9.9
13,9,8.64
14,9,8.72
15,9,9.638888889
16,9,9.42
17,8,8.78
18,9,9.448275862
19,8,9.2
20,9,8.92
