Hotels,score,polarity_score
1,9,9.62
2,9,9.02
3,9,9.02
4,9,8.24
5,8,9.08
6,9,8.58
7,9,8.84
8,9,8.84
9,8,8.58
10,9,7.48
11,8,8.18
12,9,8.76
13,9,8.24
14,9,8.48
15,8,8.8
16,9,8.34
17,8,7.96
18,8,8.5
19,8,9.24
20,8,8.44
