avg_rating,comment_avg_rating
45,44.5
50,46.9
45,48.9
45,44
45,48.5
45,44.1
50,49.1
45,44.5
45,36.21052631578947
40,40.4
45,44.2
45,39.3
40,49
45,43.6
45,36.4
35,37.7
35,35.3
40,43.5
40,38.7
40,41.6
